0X0DFFCA 0X99
0X0DFFCB 0X60
0X0DFFCC 0XC3
0X0DFFCD 0XFC
0X0DFFCE 0X60
0X0DFFCF 0X84
0X0DFFD0 0XB0
0X0DFFD1 0XCF
0X0DFFD2 0XFE
0X0DFFD3 0X60
0X0DFFD4 0XFF
0X0DFFD5 0X4E
0X0DFFD6 0XBF
0X0DFFD7 0X8C
0X0DFFD8 0X80
0X0DFFD9 0XD3
0X0DFFDA 0XEC
0X0DFFDB 0XFD
0X0DFFDC 0XE8
0X0DFFDD 0X35
0X0DFFDE 0X05
0X0DFFDF 0X6A
0X0DFFE0 0X4A
0X0DFFE1 0X85
0X0DFFE2 0XAF
0X0DFFE3 0XAA
0X0DFFE4 0XB5
0X0DFFE5 0X64
0X0DFFE6 0X1A
0X0DFFE7 0X61
0X0DFFE8 0X91
0X0DFFE9 0XF4
0X0DFFEA 0XD4
0X0DFFEB 0XAC
0X0DFFEC 0XBB
0X0DFFED 0X07
0X0DFFEE 0X56
0X0DFFEF 0X60
0X0DFFF0 0X43
0X0DFFF1 0X61
0X0DFFF2 0X88
0X0DFFF3 0XF1
0X0DFFF4 0X78
0X0DFFF5 0X0F
0X0DFFF6 0X42
0X0DFFF7 0X1B
0X0DFFF8 0X7B
0X0DFFF9 0XE2
0X0DFFFA 0X06
0X0DFFFB 0XCE
0X0DFFFC 0XF0
0X0DFFFD 0XE5
0X0DFFFE 0X13
0X0DFFFF 0XD4
