0,1
0X04FFA9,0X69
0X04FFAA,0X54
0X04FFAB,0X39
0X04FFAC,0X35
0X04FFAD,0X40
0X04FFAE,0X7B
0X04FFAF,0XC6
0X04FFB0,0X52
0X04FFB1,0XAD
0X04FFB2,0XD0
0X04FFB3,0X9D
0X04FFB4,0X4F
0X04FFB5,0X52
0X04FFB6,0X60
0X04FFB7,0X9F
0X04FFB8,0XAB
0X04FFB9,0XBA
0X04FFBA,0X0C
0X04FFBB,0XFD
0X04FFBC,0X7D
0X04FFBD,0X45
0X04FFBE,0X97
0X04FFBF,0X23
0X04FFC0,0X14
0X04FFC1,0XEB
0X04FFC2,0X0A
0X04FFC3,0X49
0X04FFC4,0X95
0X04FFC5,0X4A
0X04FFC6,0XA6
0X04FFC7,0X2F
0X04FFC8,0XC9
0X04FFC9,0X5A
0X04FFCA,0XE3
0X04FFCB,0X71
0X04FFCC,0X4C
0X04FFCD,0XFB
0X04FFCE,0XBC
0X04FFCF,0X91
0X04FFD0,0X1F
0X04FFD1,0X4E
0X04FFD2,0XF0
0X04FFD3,0X8F
0X04FFD4,0X29
0X04FFD5,0X3C
0X04FFD6,0X29
0X04FFD7,0XD6
0X04FFD8,0X85
0X04FFD9,0X11
0X04FFDA,0X12
0X04FFDB,0X69
0X04FFDC,0XCF
0X04FFDD,0X81
0X04FFDE,0XD3
0X04FFDF,0X83
0X04FFE0,0X36
0X04FFE1,0X84
0X04FFE2,0X33
0X04FFE3,0X19
0X04FFE4,0X5E
0X04FFE5,0X29
0X04FFE6,0XAE
0X04FFE7,0X9B
0X04FFE8,0XDB
0X04FFE9,0XB3
0X04FFEA,0X5F
0X04FFEB,0X2C
0X04FFEC,0XDE
0X04FFED,0X38
0X04FFEE,0X90
0X04FFEF,0X63
0X04FFF0,0XD5
0X04FFF1,0X5F
0X04FFF2,0X74
0X04FFF3,0X94
0X04FFF4,0X29
0X04FFF5,0XD3
0X04FFF6,0X9A
0X04FFF7,0XF9
0X04FFF8,0X3F
0X04FFF9,0X29
0X04FFFA,0X2F
0X04FFFB,0XA9
0X04FFFC,0XD0
0X04FFFD,0XAD
0X04FFFE,0XBE
0X04FFFF,0XE5
0X05FF00,0XAD
0X05FF01,0X9A
0X05FF02,0X64
0X05FF03,0X28
0X05FF04,0X97
0X05FF05,0X31
0X05FF06,0XC3
0X05FF07,0XD7
0X05FF08,0X4E
0X05FF09,0X1D
0X05FF0A,0XCE
0X05FF0B,0XF2
0X05FF0C,0X28
0X05FF0D,0XF0
0X05FF0E,0XEC
0X05FF0F,0XE3
0X05FF10,0XFC
0X05FF11,0XDF
0X05FF12,0X6E
0X05FF13,0X47
0X05FF14,0X39
0X05FF15,0XBA
0X05FF16,0XBD
0X05FF17,0X03
0X05FF18,0XF3
0X05FF19,0X6D
0X05FF1A,0X02
0X05FF1B,0XB1
0X05FF1C,0X37
0X05FF1D,0X16
0X05FF1E,0X15
0X05FF1F,0XE3
0X05FF20,0XF2
0X05FF21,0X2C
0X05FF22,0X80
0X05FF23,0X84
0X05FF24,0X30
0X05FF25,0XB0
0X05FF26,0X1F
0X05FF27,0X7E
0X05FF28,0X0A
0X05FF29,0X6C
0X05FF2A,0XB9
0X05FF2B,0X1D
0X05FF2C,0XC6
0X05FF2D,0XD7
0X05FF2E,0XBB
0X05FF2F,0X28
0X05FF30,0XC8
0X05FF31,0XA1
